A;SECTION A HUMAN NECESSITIES
A01D0057050000;Detachable reels for converting a mower into a harvester
A01D0057060000;using endless conveyors
A01D0057080000;using swinging rakes
A01D0057100000;using fans
A01D0057120000;Rotating rakes
A01D0057140000;Single-platform rakes
A01D0057160000;Tilting tables
A01D0057180000;Bunching devices, e.g. with tipping bars
A01D0057200000;with conveyor belts
A01D0057220000;for standing stalks
A01D0057240000;Grass-boards
A01D0057260000;Plates arranged behind the cutter-bar for guiding the cut grass or straw
A01D0057280000;Windrower attachments with tines
A01D0057300000;Rotating attachments for forming windrows
A01D0059000000;Equipment for binding harvested or mown produce (specially adapted for baling presses A01F0015140000)
A01D0059020000;Packers
A01D0059040000;Knotters
A01D0059060000;Needles
A01D0059080000;Discharge arms
A01D0059100000;Devices for separating cohering sheaves
A01D0059120000;Containers for the twine
A01D0059140000;Sheaf counters
A01D0061000000;Elevators or conveyors for binders or combines
A01D0061020000;Endless belts
A01D0061040000;Chains
A01D0063000000;Outside dividers
A01D0063020000;Rotating dividers
A01D0063040000;Non-rotating dividers
A01D0065000000;Grain-crop lifters
A01D0065020000;Lifting fingers
A01D0065040000;with revolving staffs
A01D0065060000;Lifting devices arranged on the inner side of the cutter-bar
A01D0065080000;Guard attachments for the wheels
A01D0067000000;Undercarriages or frames specially adapted for harvesters or mowers (coupling arrangements between animal or tractor and harvester or mower A01B0059000000). Mechanisms for adjusting the frame (adjusting devices for the cutter-bar A01D0034280000). Platforms
A01D0067020000;Protection against weather
A01D0067040000;Seats
A01D0069000000;Driving mechanisms or parts thereof for harvesters or mowers (driving mechanisms for the cutters of mowers or harvesters A01D0034000000)
A01D0069020000;electric
A01D0069030000;fluid
A01D0069060000;Gearings
A01D0069080000;Clutches
A01D0069100000;Brakes
A01D0069120000;Lubrication
A01D0075000000;Accessories for harvesters or mowers
A01D0075020000;Implements for collecting grain crop
A01D0075040000;Sheaf carriers
A01D0075060000;Sheaf shockers or stookers
A01D0075080000;Sharpening apparatus fixed to the harvester or mower
A01D0075100000;Devices for reconditioning the knife-bar, e.g. removing the knife from its backing
A01D0075120000;Instruments for removing the knife-bar from the cutter
A01D0075160000;Implements for laying-out bands for sheaves
A01D0075180000;Safety devices for parts of the machines
A01D0075200000;Devices for protecting men or animals
A01D0075240000;Special devices for harvesters or mowers drawn by animals
A01D0075260000;Front trucks. Axle-pivot steering of front trucks
A01D0075280000;Control mechanisms for harvesters or mowers when moving on slopes. Devices preventing lateral pull
A01D0075300000;Arrangements for trailing two or more harvesters or mowers
A01D0076000000;Haymakers. Crop conditioners
A01D0076000000;Haymakers with tines that are stationary with respect to the machine during operation but that may be liftable for dumping (haymakers combined with mowers A01D0043040000)
A01D0078000000;Haymakers with tines moving with respect to the machine (haymakers combined with mowers A01D0043040000)
A01D0078020000;with tine-carrying bars or equivalent members which interconnect heads rotating about horizontal axes, e.g. of rotary-drum type
A01D0078040000;the tine-carrying members moving obliquely or at right angles to the direction of travel of the machine
A01D0078060000;with tine-carrying endless chains or belts
A01D0078080000;with tine-carrying rotary heads or wheels
A01D0078100000;the tines rotating about a substantially vertical axis
A01D0078120000;the tines having an additional movement superimposed upon their rotary movement
A01D0078140000;the tines rotating about a substantially horizontal axis
A01D0078160000;with positive drive of the heads or wheels
A01D0078180000;of the reciprocating tine type
A01D0078200000;the tines reciprocating in a direction parallel to the direction of travel of the machine
A01D0080000000;Parts or details of haymakers (parts or details specific for one type of machine, see the relevant groups for these machines)..
A01D0080020000;Tines. Attachment of tines
A01D0082000000;Crop conditioners, i.e. machines for crushing or bruising stalks (mowers combined with means for crushing or bruising the mown crop A01D0043100000)
A01D0082020000;Rollers for crop conditioners
A01D0084000000;Haymakers not provided for in a single one of groups  A01D0076000000-A01D0082000000. (haymakers combined with mowers A01D0043040000)
A01D0084020000;with flexible tools
A01D0085000000;Arrangements for making or setting stacks
A01D0087000000;Loaders for hay or like field crops (combined with mowers A01D0043060000)
A01D0087020000;with conveyor belts
A01D0087040000;with rakes feeding the crop to the conveyor
A01D0087060000;with oscillating or reciprocating rake-bars
A01D0087080000;with sweep rakes
A01D0087100000;with blowers
A01D0087120000;Loaders for sheaves, stacks, or bales
A01D0089000000;Pick-ups for loaders, chaff-cutters, balers, field-threshers, or the like
A01D0090000000;Vehicles for carrying harvested crops with means for selfloading or unloading (combined with mowers A01D0043060000)
A01D0090020000;Loading means
A01D0090040000;with additional cutting means
A01D0090060000;with chaff-cutters used as loading and cutting means (A01D0043080000 takes precedence)..
A01D0090080000;with bale-forming means additionally used for loading. with means for picking-up bales and transporting them into the vehicle
A01D0090100000;Unloading means
A01D0090120000;with additional devices or implements (arrangements of coupling devices, A01B0059000000)
A01D0090140000;Adaptations of gearing for driving, loading or unloading means
A01D0090160000;self-propelled
A01D0091000000;Methods for harvesting agricultural products (essentially requiring the use of particular machines, see the relevant groups for the machines)..
A01D0091020000;Products growing in the soil
A01D0091040000;Products growing above the soil (fruit, hops A01D0046000000)
A01D0093000000;Harvesting apparatus not provided for in other groups of this subclass
A01D0101000000;Indexing scheme associated with group A01D0034000000, relating to the use of mowers.
A01D0101000000;Lawn-mowers
A01F;THRESHING (combines A01D0041000000). BALING OF STRAW, HAY OR THE LIKE. STATIONARY APPARATUS OR HAND TOOLS FOR FORMING OR BINDING STRAW, HAY OR THE LIKE INTO BUNDLES. CUTTING OF STRAW, HAY OR THE LIKE. STORING AGRICULTURAL OR HORTICULTURAL PRODUCE (arrangements for making or setting stacks in connection with harvesting A01D0085000000)
A01F0001000000;Stationary apparatus or hand tools for forming or binding straw, hay or the like into bundles (baling apparatus or presses A01F0013000000, A01F0015000000. mobile binders for use in the field A01D0037000000, A01D0039000000)
A01F0001020000;Hand-operated tools
A01F0001040000;Fastening or tying devices
A01F0005000000;Threshing
A01F0005000000;Hand-operated implements for threshing
A01F0007000000;Threshing apparatus
A01F0007020000;with rotating tools (threshing cylinders or concaves A01F0012180000)
A01F0007040000;with axles transverse to the feeding direction
A01F0007060000;with axles in line with the feeding direction
A01F0007700000;with flails
A01F0011000000;Threshing apparatus specially adapted for maize. Threshing apparatus specially adapted for particular crops other than cereals
A01F0011020000;for flax
A01F0011040000;for clover or like seeds, e.g. lucern
A01F0011060000;for maize, e.g. removing kernels from cobs
A01F0011080000;for palm fruit, e.g. releasing the fruit from the stalk
A01F0012000000;Parts or details of threshing apparatus (devices, other than safety devices for feeders, for protecting human beings A01D0075200000, A01F0021000000)
A01F0012100000;Feeders
A01F0012120000;without band-cutters
A01F0012140000;with band-cutters
A01F0012160000;Safety devices
A01F0012180000;Threshing devices
A01F0012200000;Threshing cylinders with ribs
A01F0012220000;Threshing cylinders with teeth
A01F0012240000;One-part threshing concaves
A01F0012260000;Multi-part threshing concaves
A01F0012280000;Devices for adjusting the concaves
A01F0012300000;Straw separators
A01F0012320000;with shaker screens or sieves
A01F0012340000;Sieve elements. Linings for shakers
A01F0012360000;Sieve elements specially adapted for handling short straw
A01F0012380000;with juxtaposed and independently-moved shaker bars or the like
A01F0012385000;with endless straw-conveying surface
A01F0012390000;with straw carriers in the form of rotors or drums
A01F0012395000;Conical or cylindrical straw separators with internal working surface
A01F0012400000;Arrangements of straw crushers or cutters
A01F0012420000;Apparatus for removing awns from the grain
A01F0012440000;Grain cleaners. Grain separators
A01F0012460000;Mechanical grain conveyors
A01F0012480000;Air conduits or blowers for grain
A01F0012500000;Sack-filling devices. Counting or weighing devices
A01F0012520000;Arrangements for returning unthreshed grain to the threshing device
A01F0012540000;Arrangements for collecting or removing dust
A01F0012560000;Driving mechanisms for the threshing parts
A01F0012580000;Control devices. Brakes. Bearings
A01F0012600000;Grain tanks
A01F0013000000;Baling of straw, hay or the like
A01F0013000000;Hand-operated baling apparatus
A01F0015000000;Baling presses for straw, hay or the like
A01F0015020000;with press-boxes
A01F0015040000;Plunger presses
A01F0015060000;with double-action plunger
A01F0015070000;Rotobalers, i.e. machines for forming cylindrical bales by winding and pressing
A01F0015080000;Details
A01F0015100000;Feeding devices for the crop material
A01F0015120000;Feeding devices for the ties
A01F0015140000;Tying devices specially adapted for baling presses
A01F0015160000;Division blocks
A01F0015180000;Endless belts, rolls, or the like
A01F0017000000;Accessories for threshing machines or baling presses
A01F0017000000;Straw conveyors for threshing machines or baling presses
A01F0017020000;Mechanical conveyors
A01F0017040000;Pneumatic conveyors
A01F0019000000;Devices for securing threshing machines or baling presses to the ground, e.g. for compensating for unevenness of the ground
