D;SECTION D TEXTILESPAPER
D06G0003000000;Turning inside-out flexible tubular or other hollow articles (in combination with inspecting D06H0003160000)
D06G0003020000;by mechanical means
D06G0003040000;pneumatically
D06G0005000000;Mechanical, vacuum, or pressure cleaning in combination with the turning inside-out of flexible tubular or other hollow articles
D06H;MARKING, INSPECTING, SEAMING, OR SEVERING TEXTILE MATERIALS (seaming by sewing D05B. in connection with manufacturing, see the relevant subclasses).
D06H0001000000;Marking textile materials. Marking in combination with metering or inspecting
D06H0001020000;Marking by printing or analogous processes
D06H0001040000;by attaching threads, tags, or the like
D06H0003000000;Inspecting textile materials (testing physical properties of textile materials G01N, e.g. investigating the presence of flaws, defects or contamination using optical means G01N0021880000)
D06H0003020000;visually (D06H0003120000, D06H0003140000, D06H0003160000 take precedence)..
D06H0003040000;wherein the material is supported on a table
D06H0003060000;wherein the material is supported on a drum
D06H0003080000;by photo-electric or television means (D06H0003120000, D06H0003140000, D06H0003160000 take precedence)..
D06H0003100000;by non-optical apparatus (D06H0003120000, D06H0003140000, D06H0003160000 take precedence)..
D06H0003120000;Detecting or automatically correcting errors in the position of weft threads in woven fabrics
D06H0003140000;Detecting and removing metal particles, e.g. broken needles, or card clothing, from fabrics
D06H0003160000;Inspecting hosiery or other tubular fabric. Inspecting in combination with turning inside-out, classifying, or other handling (turning inside-out per seD06G0003000000)
D06H0005000000;Seaming textile materials
D06H0007000000;Apparatus or processes for cutting, or otherwise severing, specially adapted for the cutting, or otherwise severing, of textile materials (severing for making buttonholes A41H. hand cutting tools in general B26B. cutting machines in general B26D. severing otherwise than by cutting in general B26F. trimming seamed edges, shearing surfaces of fabrics, shearing lace or embroidery, e.g. cutting loose threads D06C)
D06H0007020000;transversely (D06H0007140000 takes precedence)..
D06H0007040000;longitudinally (D06H0007140000 takes precedence)..
D06H0007060000;Removing selvedge edges
D06H0007080000;for cutting tubular fabric longitudinally
D06H0007100000;obliquely
D06H0007120000;cutting a tubular fabric helically
D06H0007140000;Cutting fabrics by cutting the weft or warp threads while making special provision to avoid cutting warp or weft threads, respectively, adjacent to the cut
D06H0007160000;specially adapted for cutting lace or embroidery
D06H0007180000;Cutting rolls of material without unwinding
D06H0007200000;Tearing
D06H0007220000;Severing by heat or by chemical agents
D06H0007240000;Devices specially adapted for cutting-out samples
D06J;PLEATING, KILTING, OR GOFFERING TEXTILE FABRICS OR WEARING APPAREL (by weaving D03D. by sewing D05B. apparatus for pressing or setting formed pleats D06C)
D06J0001000000;Pleating, kilting, or goffering textile fabrics or wearing apparel
D06J0001020000;continuously and transversely to the direction of feed
D06J0001040000;by co-operating ribbed or grooved rollers or belts
D06J0001060000;by reciprocating blades
D06J0001080000;which introduce the folds between rollers or belts
D06J0001100000;continuously and longitudinally to the direction of feed
D06J0001120000;Forms of pleats or the like
D06L;BLEACHING, e.g. OPTICAL BLEACHING, DRY-CLEANING OR WASHING FIBRES, THREADS, YARNS, FABRICS, FEATHERS OR MADE-UP FIBROUS GOODS. BLEACHING LEATHER OR FURS (chemical treatment of fibrous materials to obtain fibres for spinning D01. for mechanical matters D06B, D06C, D06F. bleaching paper pulp or cotton linters D21)
D06L0001000000;Dry-cleaning or washing fibres, threads, yarns, fabrics, feathers or made-up fibrous goods
D06L0001020000;using organic solvents
D06L0001040000;together with additives (D06L0001060000 takes precedence)..
D06L0001060000;De-sizing
D06L0001080000;Multi-step processes
D06L0001100000;Regeneration of used chemical baths
D06L0001120000;using aqueous baths
D06L0001140000;De-sizing
D06L0001160000;Multi-step processes
D06L0001180000;Working under pressure in closed vessels
D06L0001200000;combined with mechanical means
D06L0001220000;Processes involving successive treatments with aqueous and organic materials
D06L0003000000;Bleaching fibres, threads, yarns, fabrics, feathers or made-up fibrous goods, leather or furs
D06L0003020000;using compounds which develop oxygen (D06L0003060000 takes precedence)..
D06L0003040000;by irradiation or ozonisation
D06L0003060000;using compounds which contain halogen
D06L0003080000;chlorites. chlorine dioxide
D06L0003100000;using reducing agents
D06L0003110000;using enzymes
D06L0003120000;Optical bleaching
D06L0003140000;Multi-step processes
D06L0003160000;combined with cleaning or washing
D06M;TREATMENT, NOT PROVIDED FOR ELSEWHERE IN CLASS  D06, OF FIBRES, THREADS, YARNS, FABRICS, FEATHERS OR FIBROUS GOODS MADE FROM SUCH MATERIALS(treatment of textiles by mechanical means D06B-D06J).  .
D06M0010000000;Physical treatment of fibres, threads, yarns, fabrics or fibrous goods made from such materials, e.g. ultrasonic, corona discharge, irradiation, electric currents or magnetic fields. Physical treatment combined with treatment with chemical compounds or elements
D06M0010020000;ultrasonic or sonic. Corona discharge
D06M0010040000;Physical treatment combined with treatment with chemical compounds or elements (graft polymerisation using wave energy or particle radiation D06M0014180000)
D06M0010060000;Inorganic compounds or elements
D06M0010080000;Organic compounds
D06M0010100000;Macromolecular compounds
D06M0011000000;Treating fibres, threads, yarns, fabrics or fibrous goods made from such materials, with inorganic substances or complexes thereof. Such treatment combined with mechanical treatment, e.g. mercerising (D06M0010000000 takes precedence.decorating textiles by local treatment D06Q0001000000)
D06M0011010000;with hydrogen, water or heavy water. with hydrides of metals or complexes thereof. with boranes, diboranes, silanes, disilanes, phosphines, diphosphines, stibines, distibines, arsines or diarsines or complexes thereof
D06M0011050000;with water, e.g. steam. with heavy water
D06M0011070000;with halogens. with halogen acids or salts thereof. with oxides or oxyacids of halogens or salts thereof
D06M0011090000;with free halogens or interhalogen compounds
D06M0011110000;with halogen acids or salts thereof
D06M0011130000;Ammonium halides or halides of elements of Groups 1 or 11 of the Periodic System
D06M0011155000;Halides of elements of Groups 2 or 12 of the Periodic System
D06M0011170000;Halides of elements of Groups 3 or 13 of the Periodic System
D06M0011200000;Halides of elements of Groups 4 or 14 of the Periodic System, e.g. zirconyl chloride
D06M0011220000;Halides of elements of Groups 5 or 15 of the Periodic System
D06M0011240000;Halides of elements of Groups 6 or 16 of the Periodic System, e.g. chromyl chloride
D06M0011260000;Halides of elements of Group 7 of the Periodic System (interhalogen compounds D06M0011090000)
D06M0011280000;Halides of elements of Groups 8, 9, 10 or 18 of the Periodic System
D06M0011300000;with oxides of halogens, oxyacids of halogens or their salts, e.g. with perchlorates
D06M0011320000;with oxygen, ozone, ozonides, oxides, hydroxides or percompounds. Salts derived from anions with an amphoteric element-oxygen bond (with water or heavy water D06M0011050000. with oxides or oxyacids of halogens D06M0011300000. bleaching D06L)
D06M0011340000;with oxygen, ozone or ozonides
D06M0011360000;with oxides, hydroxides or mixed oxides. with salts derived from anions with an amphoteric element-oxygen bond
D06M0011380000;Oxides or hydroxides of elements of Groups 1 or 11 of the Periodic System (producing patterns by locally destroying or modifying the fibres by chemical action D06Q0001020000)
D06M0011400000;combined with, or in absence of, mechanical tension, e.g. slack mercerising
D06M0011420000;Oxides or hydroxides of copper, silver or gold
D06M0011440000;Oxides or hydroxides of elements of Groups 2 or 12 of the Periodic System. Zincates. Cadmates
D06M0011450000;Oxides or hydroxides of elements of Groups 3 or 13 of the Periodic System. Aluminates
D06M0011460000;Oxides or hydroxides of elements of Groups 4 or 14 of the Periodic System. Titanates. Zirconates. Stannates. Plumbates
D06M0011470000;Oxides or hydroxides of elements of Groups 5 or 15 of the Periodic System. Vanadates. Niobates. Tantalates. Arsenates. Antimonates. Bismuthates
D06M0011480000;Oxides or hydroxides of chromium, molybdenum or tungsten. Chromates. Dichromates. Molybdates. Tungstates
D06M0011490000;Oxides or hydroxides of elements of Groups 8, 9,10 or 18 of the Periodic System. Ferrates. Cobaltates. Nickelates. Ruthenates. Osmates. Rhodates. Iridates. Palladates. Platinates
D06M0011500000;with hydrogen peroxide or peroxides of metals. with persulfuric, permanganic, pernitric, percarbonic acids or their salts
D06M0011510000;with sulfur, selenium, tellurium, polonium or compounds thereof (with persulfuric acids or their salts D06M0011500000)
