E;SECTION E FIXED CONSTRUCTIONS
E01D;BRIDGES (bridges extending between terminal buildings and aircraft for embarking or disembarking passengers B64F0001305000)
E01D0001000000;Bridges in general (characterised by their structural type E01D0004000000-E01D0015000000)
E01D0002000000;Bridges characterised by the cross-section of their bearing spanning structure
E01D0002020000;of the I-girder type
E01D0002040000;of the box-girder type
E01D0004000000;Arch-type bridges
E01D0006000000;Truss-type bridges
E01D0006020000;of bowstring type
E01D0011000000;Suspension or cable-stayed bridges
E01D0011020000;Suspension bridges
E01D0011040000;Cable-stayed bridges
E01D0012000000;Bridges characterised by a combination of structures not covered as a whole by a single one of groups . E01D0002000000-E01D0011000000
E01D0015000000;Movable or portable bridges (arrangement of ship-based outboard ramps or gangways B63B0027140000. loading ramps B65G0069280000). Floating bridges
E01D0015020000;Vertical lift bridges
E01D0015040000;Swing bridges
E01D0015060000;Bascule bridges. Roller bascule bridges, e.g. of Scherzer type
E01D0015080000;Drawbridges
E01D0015100000;Travelling bridges. Sliding bridges. Rotary cylinder bridges, i.e. rotating about longitudinal axis to invert and raise the road
E01D0015120000;Portable or sectional bridges (floating bridges E01D0015140000)
E01D0015127000;combined with ground-supported vehicles for the transport, handling or placing of such bridges or of sections thereof
E01D0015133000;built-up from readily separable standardised sections or elements, e.g. Bailey bridges (E01D0015127000 takes precedence)..
E01D0015140000;Floating bridges, e.g. pontoon bridges (landing bridges E01D0015240000. floating bodies or pontoons B63B)
E01D0015200000;collapsible, expandable, inflatable or the like (E01D0015220000 takes precedence)..
E01D0015220000;designed as, or mounted on, vehicles
E01D0015240000;Bridges or similar structures, based on land or on a fixed structure and designed to give access to ships or other floating structures
E01D0018000000;Bridges specially adapted for particular applications or functions not provided for elsewhere, e.g. aqueducts, bridges for supporting pipe-lines
E01D0019000000;Details of bridges
E01D0019020000;Piers. Abutments (foundations E02D)
E01D0019040000;Bearings. Hinges
E01D0019060000;Arrangement, construction, or bridging of expansion joints
E01D0019080000;Damp-proof or other insulating layers. Drainage arrangements or devices
E01D0019100000;Railings. Protectors against smoke or gases, e.g. of locomotives. Maintenance travellers. Fastening of pipes or cables to bridges
E01D0019120000;Grating or flooring for bridges. Fastening railway sleepers or tracks to bridges
E01D0019140000;Towers. Anchors. Saddle supports
E01D0019160000;Suspension cables. Cable clamps for suspension cables
E01D0021000000;Methods or apparatus specially adapted for erecting or assembling bridges
E01D0021060000;by translational movement of the bridge or bridge sections
E01D0021080000;by rotational movement of the bridge or bridge sections
E01D0021100000;Cantilevered erection
E01D0022000000;Methods or apparatus for repairing or strengthening existing bridges
E01D0024000000;Methods or apparatus for dismantling bridges
E01D0101000000;Indexing scheme associated with groups E01D0001000000-E01D0022000000, relating to the material constitution of bridges.
E01D0101000000;Material constitution of bridges
E01D0101100000;Wood
E01D0101200000;Concrete, stone or stone-like material
E01D0101220000;MasonryBricks
E01D0101240000;Concrete
E01D0101260000;reinforced
E01D0101280000;prestressed
E01D0101300000;Metal (E01D0101260000 takes precedence)..
E01D0101320000;prestressed
E01D0101340000;non-ferrous, e.g. aluminium
E01D0101400000;Plastics
E01F;ADDITIONAL WORK, SUCH AS EQUIPPING ROADS OR THE CONSTRUCTION OF PLATFORMS, HELICOPTER LANDING STAGES, SIGNS, SNOW FENCES, OR THE LIKE
E01F0001000000;Arrangement or construction of additional equipment for roads or railways. Landing stages for helicopters
E01F0001000000;Construction of platforms or refuge islands (general arrangement of railway platforms B61B)
E01F0003000000;Landing stages for helicopters, e.g. located above buildings (layout of airfields B64F. buildings or like structures for special purposes E04H)
E01F0005000000;Draining the sub-base of roads or ballastway of railways by trenches, culverts, or conduits (underground drainage E02D. conduits for sewerage E03F)
E01F0007000000;Devices affording protection against snow, sand drifts, side-wind effects, snowslides, avalanches or falling rocks (permanently installed heating or blowing devices for roads E01C0011260000). Anti-dazzle arrangements
E01F0007020000;Snow fences or similar devices, e.g. devices affording protection against sand drifts or side-wind effects (fences in general E04H0017000000)
E01F0007040000;Devices affording protection against snowslides, avalanches or falling rocks, e.g. avalanche preventing structures, galleries (securing of slopes E02D0017200000. roof snow-traps E04D0013100000)
E01F0007060000;Anti-dazzle arrangements (E01F0008000000 takes precedence)..
E01F0008000000;Arrangements for absorbing or reflecting air transmitted noise from road or railway traffic (ground installations for reducing aircraft noise B64F0001260000. general building constructions for absorbing or reflecting noise, noise absorption or reflection for buildings E04B0001740000)
E01F0008020000;specially adapted for sustaining vegetation or for accommodating plants (receptacles for cultivation of plants A01G0009020000. securing slopes or inclines E02D0017200000. retaining or protecting walls E02D0029020000)
E01F0009000000;Arrangements for facilitating the use of roads
E01F0009000000;Arrangement of road signs or traffic signals (signals, signalling systems G08. signs, attachment thereof to supports G09F). Arrangements for enforcing caution, e.g. speed bumps
E01F0009011000;Upright bodies, e.g. marker posts or bollards. Supports for road signs (posts or poles in general E04H0012000000. means for attaching signs to a supporting structure in general G09F0007180000)
E01F0009012000;free-standing, e.g. traffic cones, foldable or inflatable devices
E01F0009013000;intended to be readily removable, e.g. for insertion into road-stud sockets (E01F0009012000 takes precedence)..
E01F0009014000;Storing, transporting, placing or retrieving portable devices
E01F0009015000;with reflectors, e.g. with means for keeping clean
E01F0009016000;illuminated (for obstructing or restricting traffic E01F0013000000)
E01F0009017000;self-righting after deflection or displacement
E01F0009018000;specially adapted for breaking, disengaging, collapsing or permanent deformation upon deflection or displacement, e.g. upon vehicle impact
E01F0009019000;extensible, collapsible or pivotable (E01F0009017000, E01F0009018000 take precedence)..
E01F0009030000;Arrangements for fastening signs or signals to safety barriers or the like
E01F0009040000;Road surface markings. Kerbs or road edgings, specially adapted for informing road users, e.g. illuminated (for redirecting vehicles E01F0015000000)
E01F0009047000;specially adapted for audible or vibrational signalling, e.g. rumble strips, or for enforcing reduced speed, e.g. speed bumps
E01F0009053000;Kerbs or road edgings, specially adapted for informing road users, e.g. illuminated
E01F0009060000;Traffic studs. Marking blocks
E01F0009070000;having deflectable or displaceable parts, with or without return to original position, e.g. flexible flaps
E01F0009080000;Traffic lines
E01F0009087000;Lane delineators for physically separating traffic lanes and discouraging but not preventing crossing
E01F0009093000;movable for repeated use at different locations
E01F0011000000;Embedding pads or other sensitive devices in paving or other road surfaces (pressure-sensitive elements G01L. traffic control systems G08G)
E01F0013000000;Arrangements for obstructing or restricting traffic, e.g. gates, barricades (for railway crossings B61L)
E01F0013020000;free-standing
E01F0013040000;movable to allow or prevent passage
E01F0013060000;by swinging into open position about a horizontal axis parallel to the road direction, i.e. swinging gates
E01F0013080000;by swinging into closed position about a transverse axis situated in the road surface, e.g. tiltable sections of the road surface, tiltable parking posts
E01F0013100000;Vehicle barriers specially adapted for allowing passage in one direction only
E01F0013120000;for forcibly arresting or disabling vehicles, e.g. spiked mats
E01F0015000000;Safety arrangements for slowing, redirecting or stopping errant vehicles, e.g. guard posts or bollards. Arrangements for reducing damage to roadside structures due to vehicular impact (arrangements for fastening signs or signals to safety barriers or the like E01F0009030000. for forcibly arresting vehicles E01F0013000000)
E01F0015020000;Continuous barriers extending along roads or between traffic lanes (crossable-lane separators E01F0009087000)
E01F0015040000;essentially made of longitudinal beams or rigid strips (E01F0015100000, E01F0015120000 take precedence)..
E01F0015060000;essentially made of cables, nettings or the like (E01F0015100000, E01F0015120000 take precedence.protection against falling rocks E01F0007040000. arresting gear for aircraft B64F0001020000)
E01F0015080000;essentially made of walls or wall-like elements (E01F0015100000, E01F0015120000 take precedence)..
E01F0015100000;portable, e.g. for temporary use
E01F0015120000;and having means for providing occasional passage, e.g. for emergency vehicles
E01F0015140000;specially adapted for local protection, e.g. for bridge piers, for traffic islands
E01H;STREET CLEANING. CLEANING OF PERMANENT WAYS. CLEANING BEACHES. CLEANING LAND. DISPERSING FOG IN GENERAL (mowers convertible to apparatus for sweeping or cleaning lawns or other surfaces, e.g. to remove snow, or capable of sweeping or cleaning lawns or other surfaces A01D0042060000. cleaning in general B08B)
