C;SECTION C CHEMISTRY METALLURGY
C01D0007080000;Preparation from or  via cyano compounds of sodium or potassium(C01D0001260000 takes precedence)..
C01D0007100000;Preparation of bicarbonates from carbonates (ammonia-soda process C01D0007180000)
C01D0007120000;Preparation of carbonates from bicarbonates
C01D0007140000;Preparation of sesquicarbonates
C01D0007160000;Preparation from compounds of sodium or potassium with amines and carbon dioxide
C01D0007180000;Preparation by the ammonia-soda process
C01D0007220000;Purification
C01D0007240000;Crystallisation
C01D0007260000;by precipitation or adsorption
C01D0007280000;with selective solvents
C01D0007300000;by oxidation
C01D0007320000;by dialysis
C01D0007340000;by electrolysis
C01D0007350000;Varying the content of water of crystallisation or the specific gravity
C01D0007370000;Densifying sodium carbonate
C01D0007380000;Preparation in the form of granules, pieces, or other shaped products
C01D0007400000;Influencing the crystallisation process
C01D0007420000;Preventing the absorption of moisture or caking
C01D0009000000;Nitrates of sodium, potassium, or alkali metals in general
C01D0009020000;Preparation by working-up natural salt mixtures
C01D0009040000;Preparation with liquid nitric acid
C01D0009060000;Preparation with gaseous nitric acid or nitrogen oxides
C01D0009080000;Preparation by double decomposition
C01D0009100000;with ammonium nitrate
C01D0009120000;with nitrates of magnesium, calcium, strontium, or barium
C01D0009140000;of salts of potassium with sodium nitrate
C01D0009160000;Purification
C01D0009180000;Preparation in the form of shaped products, e.g. granules
C01D0009200000;Preventing the absorption of moisture or caking
C01D0013000000;Compounds of sodium or potassium not provided for elsewhere
C01D0015000000;Lithium compounds
C01D0015020000;Oxides. Hydroxides
C01D0015040000;Halides
C01D0015060000;Sulfates. Sulfites
C01D0015080000;Carbonates. Bicarbonates
C01D0015100000;Nitrates
C01D0017000000;Rubidium, caesium, or francium compounds
C01F;COMPOUNDS OF THE METALS BERYLLIUM, MAGNESIUM, ALUMINIUM, CALCIUM, STRONTIUM, BARIUM, RADIUM, THORIUM, OR OF THE RARE-EARTH METALS (metal hydrides C01B0006000000. salts of oxyacids of halogens C01B0011000000. peroxides, salts of peroxyacids C01B0015000000. sulfides or polysulfides of magnesium, calcium, strontium, or barium C01B0017420000. thiosulfates, dithionites, polythionates C01B0017640000. compounds containing selenium or tellurium C01B0019000000. binary compounds of nitrogen with metals C01B0021060000. azides C01B0021080000. metal amides C01B0021092000. nitrites C01B0021500000. phosphides C01B0025080000. salts of oxyacids of phosphorus C01B0025160000. carbides C01B0031300000. compounds containing silicon C01B0033000000. compounds containing boron C01B0035000000. compounds having molecular sieve properties but not having base-exchange properties C01B0037000000. compounds having molecular sieve and base-exchange properties, e.g. crystalline zeolites, C01B0039000000. cyanides C01C0003080000. salts of cyanic acid C01C0003140000. salts of cyanamide C01C0003160000. thiocyanates C01C0003200000. fermentation or enzyme-using processes for the preparation of elements or inorganic compounds except carbon dioxide C12P0003000000. obtaining metal compounds from mixtures, e.g. ores, which are intermediate compounds in a metallurgical process for obtaining a free metal¶ÿC22B. production of non-metallic elements or inorganic compounds by electrolysis or electrophoresis C25B)
C01F0001000000;Methods of preparing compounds of the metals beryllium, magnesium, aluminium, calcium, strontium, barium, radium, thorium, or the rare earths, in general
C01F0003000000;Compounds of beryllium
C01F0003020000;Oxides. Hydroxides
C01F0005000000;Compounds of magnesium
C01F0005020000;Magnesia
C01F0005040000;by oxidation of metallic magnesium
C01F0005060000;by thermal decomposition of magnesium compounds (calcining magnesite or dolomite C04B0002100000)
C01F0005080000;by calcining magnesium hydroxide
C01F0005100000;by thermal decomposition of magnesium chloride with water vapour
C01F0005120000;by thermal decomposition of magnesium sulfate, with or without reduction
C01F0005140000;Magnesium hydroxide
C01F0005160000;by treating magnesia, e.g. calcined dolomite, with water or solutions of salts not containing magnesium
C01F0005200000;by precipitation from solutions of magnesium salts with ammonia
C01F0005220000;from magnesium compounds with alkali hydroxides or alkaline earth oxides or hydroxides
C01F0005240000;Magnesium carbonates
C01F0005260000;Magnesium halides
C01F0005280000;Fluorides
C01F0005300000;Chlorides
C01F0005320000;Preparation of anhydrous magnesium chloride by chlorinating magnesium compounds
C01F0005340000;Dehydrating magnesium chloride containing water of crystallisation
C01F0005360000;Bromides
C01F0005380000;Magnesium nitrates
C01F0005400000;Magnesium sulfates (double sulfates of magnesium with sodium or potassium C01D0005120000, with other alkali metals C01D0015060000, C01D0017000000)
C01F0005420000;Magnesium sulfites
C01F0007000000;Compounds of aluminium
C01F0007020000;Aluminium oxide. Aluminium hydroxide. Aluminates
C01F0007040000;Preparation of alkali metal aluminates. Aluminium oxide or hydroxide therefrom
C01F0007060000;by treating aluminous minerals with alkali hydroxide
C01F0007080000;by treating aluminous minerals with sodium carbonate
C01F0007100000;by treating aluminous minerals with alkali sulfates and reducing agents
C01F0007120000;Alkali metal aluminates from alkaline earth metal aluminates
C01F0007140000;Aluminium oxide or hydroxide from alkali metal aluminates
C01F0007160000;Preparation of alkaline earth metal aluminates. Aluminium oxide or hydroxide therefrom
C01F0007180000;Aluminium oxide or hydroxide from alkaline earth metal aluminates
C01F0007200000;Preparation of aluminium oxide or hydroxide from aluminous ores with acids or salts
C01F0007220000;with halides
C01F0007240000;with nitric acid or nitrogen oxides
C01F0007260000;with sulfuric acids or sulfates
C01F0007280000;with sulfurous acid
C01F0007300000;Preparation of aluminium oxide or hydroxide by thermal decomposition of aluminium compounds
C01F0007320000;of sulfates
C01F0007340000;Preparation of aluminium hydroxide by precipitation from solutions containing aluminium salts
C01F0007360000;from organic aluminium salts
C01F0007380000;Preparation of aluminium oxide by thermal reduction of aluminous minerals
C01F0007400000;in the presence of aluminium sulfide
C01F0007420000;Preparation of aluminium oxide or hydroxide from metallic aluminium, e.g. by oxidation
C01F0007440000;Dehydration of aluminium hydroxide
C01F0007460000;Purification of aluminium oxide, aluminium hydroxide or aluminates
C01F0007470000;of aluminates
C01F0007480000;Aluminium halides
C01F0007500000;Fluorides
C01F0007520000;Double compounds containing both fluorine and other acid groups
C01F0007540000;Double compounds containing both aluminium and alkali metals or alkaline earth metals
C01F0007560000;Chlorides (containing fluorine C01F0007520000)
C01F0007580000;Preparation of anhydrous aluminium chloride
C01F0007600000;from oxygen-containing aluminium compounds
C01F0007620000;Purification
C01F0007640000;Bromides (containing fluorine C01F0007520000)
C01F0007660000;Aluminium nitrates (containing fluorine C01F0007520000)
C01F0007680000;Aluminium compounds containing sulfur (containing fluorine C01F0007520000)
C01F0007700000;Sulfides
C01F0007720000;Sulfites
C01F0007740000;Sulfates
C01F0007760000;Double salts, e.g. alums
C01F0011000000;Compounds of calcium, strontium, or barium (C01F0007000000 takes precedence)..
C01F0011020000;Oxides or hydroxides (production of lime C04B0002000000)
C01F0011040000;by thermal decomposition
C01F0011060000;of carbonates
C01F0011080000;by reduction of sulfates
C01F0011100000;from sulfides
C01F0011120000;from silicates
C01F0011160000;Purification
C01F0011180000;Carbonates
C01F0011200000;Halides
C01F0011220000;Fluorides
C01F0011240000;Chlorides
C01F0011260000;from sulfides
C01F0011280000;by chlorination of alkaline earth metal compounds
C01F0011300000;Concentrating. Dehydrating. Preventing the absorption of moisture or caking
C01F0011320000;Purification
C01F0011340000;Bromides
C01F0011360000;Nitrates
C01F0011380000;Preparation with nitric acid or nitrogen oxides
C01F0011400000;Preparation by double decomposition with nitrates
C01F0011420000;Double salts (with magnesium C01F0005380000)
C01F0011440000;Concentrating. Crystallising. Dehydrating. Preventing the absorption of moisture or caking
C01F0011460000;Sulfates (dehydration of gypsum C04B0011020000)
C01F0011480000;Sulfites
C01F0013000000;Compounds of radium
C01F0015000000;Compounds of thorium
C01F0017000000;Compounds of the rare-earth metals, i.e. scandium, yttrium, lanthanum, or the group of the lanthanides
C01G;COMPOUNDS CONTAINING METALS NOT COVERED BY SUBCLASSES  C01D.  OR C01F. (metal hydrides C01B0006000000. salts of oxyacids of halogens C01B0011000000. peroxides, salts of peroxyacids C01B0015000000. thiosulfates, dithionites, polythionates C01B0017640000. compounds containing selenium or tellurium C01B0019000000. binary compounds of nitrogen with metals C01B0021060000. azides C01B0021080000. metal amides C01B0021092000. nitrites C01B0021500000. phosphides C01B0025080000. salts of oxyacids of phosphorus C01B0025160000. carbides C01B0031300000. compounds containing silicon C01B0033000000. compounds containing boron C01B0035000000. compounds having molecular sieve properties but not having base-exchange properties C01B0037000000. compounds having molecular sieve and base-exchange properties, e.g. crystalline zeolites, C01B0039000000. cyanides C01C0003080000. salts of cyanic acid C01C0003140000. salts of cyanamide C01C0003160000. thiocyanates C01C0003200000. fermentation or enzyme-using processes for the preparation of elements or inorganic compounds except carbon dioxide C12P0003000000. obtaining metal compounds from mixtures, e.g. ores, which are intermediate compounds in a metallurgical process for obtaining a free metal C21B, C22B. production of non-metallic elements or inorganic compounds by electrolysis or electrophoresis C25B)
C01G0001000000;Methods of preparing compounds of metals not covered by subclasses  C01B, C01C, C01D, C01F, in general(electrolytic production of inorganic compounds C25B0001000000)
C01G0001020000;Oxides
C01G0001040000;Carbonyls
C01G0001060000;Halides
C01G0001080000;Nitrates
C01G0001100000;Sulfates
C01G0001120000;Sulfides
C01G0001140000;Sulfites
C01G0003000000;Compounds of copper
C01G0003020000;Oxides. Hydroxides
C01G0003040000;Halides
C01G0003050000;Chlorides
C01G0003060000;Oxychlorides
C01G0003080000;Nitrates
C01G0003100000;Sulfates
C01G0003120000;Sulfides
C01G0003140000;Complexes with ammonia
C01G0005000000;Compounds of silver
C01G0005020000;Halides
C01G0007000000;Compounds of gold
C01G0009000000;Compounds of zinc
C01G0009020000;Oxides. Hydroxides
C01G0009030000;Processes of production using dry methods, e.g. vapour phase processes
C01G0009040000;Halides
C01G0009060000;Sulfates
C01G0009080000;Sulfides
C01G0011000000;Compounds of cadmium
C01G0011020000;Sulfides
C01G0013000000;Compounds of mercury
C01G0013020000;Oxides
C01G0013040000;Halides
C01G0015000000;Compounds of gallium, indium, or thallium
C01G0017000000;Compounds of germanium
C01G0017020000;Germanium dioxide
C01G0017040000;Halides of germanium
C01G0019000000;Compounds of tin
C01G0019020000;Oxides
C01G0019040000;Halides
C01G0019060000;Stannous chloride
C01G0019080000;Stannic chloride
C01G0021000000;Compounds of lead
C01G0021020000;Oxides
C01G0021040000;Lead suboxide (Pb. 2O)
C01G0021060000;Lead monoxide (PbO)
C01G0021080000;Lead dioxide (PbO. 2)
C01G0021100000;Red lead (Pb. 3O4)
C01G0021120000;Hydroxides
C01G0021140000;Carbonates
C01G0021160000;Halides
C01G0021180000;Nitrates
C01G0021200000;Sulfates
C01G0021210000;Sulfides
C01G0021220000;Plumbates. Plumbites
C01G0023000000;Compounds of titanium
C01G0023020000;Halides of titanium
C01G0023040000;Oxides. Hydroxides
C01G0023047000;Titanium dioxide
C01G0023053000;Producing by wet processes, e.g. hydrolysing titanium salts
C01G0023070000;Producing by vapour phase processes, e.g. halide oxidation
C01G0023080000;Drying. Calcining
C01G0025000000;Compounds of zirconium
C01G0025020000;Oxides
C01G0025040000;Halides
C01G0025060000;Sulfates
C01G0027000000;Compounds of hafnium
C01G0027020000;Oxides
C01G0027040000;Halides
C01G0027060000;Sulfates
C01G0028000000;Compounds of arsenic
C01G0028020000;Arsenates. Arsenites
C01G0029000000;Compounds of bismuth
C01G0030000000;Compounds of antimony
C01G0030020000;Antimonates. Antimonites
C01G0031000000;Compounds of vanadium
C01G0031020000;Oxides
C01G0031040000;Halides
C01G0033000000;Compounds of niobium
C01G0035000000;Compounds of tantalum
