H;SECTION H ELECTRICITY
H01G0004200000;using combinations of dielectrics from more than one of groups  H01G0004020000-H01G0004060000. (H01G0004120000 takes precedence)..
H01G0004220000;impregnated
H01G0004224000;Housing. Encapsulation
H01G0004228000;Terminals
H01G0004232000;electrically connecting two or more layers of a stacked or rolled capacitor
H01G0004236000;leading through the housing, i.e. lead-through
H01G0004242000;the capacitive element surrounding the terminal
H01G0004245000;Tabs between the layers of a rolled electrode
H01G0004248000;the terminals embracing or surrounding the capacitive element, e.g. caps (H01G0004252000 takes precedence)..
H01G0004252000;the terminals being coated on the capacitive element (H01G0004232000 takes precedence)..
H01G0004255000;Means for correcting the capacitance value
H01G0004258000;Temperature compensation means
H01G0004260000;Folded capacitors
H01G0004280000;Tubular capacitors
H01G0004300000;Stacked capacitors (H01G0004330000 takes precedence)..
H01G0004320000;Wound capacitors
H01G0004330000;Thin- or thick-film capacitors
H01G0004350000;Feed-through capacitors or anti-noise capacitors
H01G0004380000;Multiple capacitors, i.e. structural combinations of fixed capacitors
H01G0004400000;Structural combinations of fixed capacitors with other electric elements not covered by this subclass, the structure mainly consisting of a capacitor, e.g. RC combinations
H01G0005000000;Capacitors in which the capacitance is varied by mechanical means, e.g. by turning a shaft. Processes of their manufacture
H01G0005010000;Details
H01G0005011000;Electrodes
H01G0005012000;at least one of the electrodes being a displaceable liquid or powder
H01G0005013000;Dielectrics
H01G0005014000;Housing. Encapsulation
H01G0005015000;Current collectors
H01G0005017000;Temperature compensation
H01G0005019000;Means for correcting the capacitance characteristics
H01G0005040000;using variation of effective area of electrode
H01G0005060000;due to rotation of flat or substantially flat electrodes
H01G0005080000;becoming active in succession
H01G0005100000;due to rotation of helical electrodes
H01G0005120000;due to rotation of part-cylindrical, conical, or spherical electrodes
H01G0005140000;due to longitudinal movement of electrodes
H01G0005160000;using variation of distance between electrodes
H01G0005180000;due to change in inclination, e.g. by flexing, by spiral wrapping
H01G0005380000;Multiple capacitors, e.g. ganged
H01G0005400000;Structural combinations of variable capacitors with other electric elements not covered by this subclass, the structure mainly consisting of a capacitor, e.g. RC combinations
H01G0007000000;Capacitors in which the capacitance is varied by non-mechanical means. Processes of their manufacture
H01G0007020000;Electrets, i.e. having a permanently-polarised dielectric
H01G0007040000;having a dielectric selected for the variation of its permitivity with applied temperature
H01G0007060000;having a dielectric selected for the variation of its permitivity with applied voltage, i.e. ferroelectric capacitors (electrets H01G0007020000)
H01G0009000000;Electrolytic capacitors, rectifiers, detectors, switching devices, light-sensitive or temperature-sensitive devices. Processes of their manufacture
H01G0009004000;Details
H01G0009008000;Terminals
H01G0009012000;specially adapted for solid capacitors
H01G0009020000;Diaphragms. Separators
H01G0009022000;Electrolytes. Absorbents
H01G0009025000;Solid electrolytes (H01G0011540000¶ÿtakes precedence)..
H01G0009028000;Organic semiconducting electrolytes, e.g. TCNQ
H01G0009032000;Inorganic semiconducting electrolytes, e.g. MnO. 2
H01G0009035000;Liquid electrolytes, e.g. impregnating materials (H01G0011540000¶ÿtakes precedence)..
H01G0009040000;Electrodes
H01G0009042000;characterised by the material (H01G0011220000¶ÿtakes precedence)..
H01G0009045000;based on aluminium
H01G0009048000;characterised by their structure (H01G0011220000¶ÿtakes precedence)..
H01G0009052000;Sintered electrodes
H01G0009055000;Etched foil electrodes
H01G0009060000;Mounting in containers
H01G0009070000;Dielectric layers
H01G0009080000;Housing. Encapsulation
H01G0009100000;Sealing, e.g. of lead-in wires
H01G0009120000;Vents or other means allowing expansion
H01G0009140000;Structural combinations for modifying, or compensating for, electric characteristics of electrolytic capacitors
H01G0009145000;Liquid electrolytic capacitors (H01G0011000000¶ÿtakes precedence)..
H01G0009150000;Solid electrolytic capacitors (H01G0011000000¶ÿtakes precedence)..
H01G0009160000;specially adapted for use as rectifiers or detectors (H01G0009220000 takes precedence)..
H01G0009180000;Self-interrupters
H01G0009200000;Light-sensitive devices
H01G0009210000;Temperature-sensitive devices
H01G0009220000;Devices using combined reduction and oxidation, e.g. redox arrangement or solion
H01G0009260000;Structural combinations of electrolytic capacitors, rectifiers, detectors, switching devices, light-sensitive or temperature-sensitive devices with each other
H01G0009280000;Structural combinations of electrolytic capacitors, rectifiers, detectors, switching devices with other electric components not covered by this subclass
H01G0011000000;Hybrid capacitors, i.e. capacitors having different positive and negative electrodes. Electric double-layer [EDL] capacitors. Processes for the manufacture thereof or of parts thereof
H01G0011020000;using combined reduction-oxidation reactions, e.g. redox arrangement or solion
H01G0011040000;Hybrid capacitors
H01G0011060000;with one of the electrodes allowing ions to be reversibly doped thereinto, e.g. lithium-ion capacitors [LICs]
H01G0011080000;Structural combinations, e.g. assembly or connection, of hybrid or EDL capacitors with other electric components, at least one hybrid or EDL capacitor being the main component
H01G0011100000;Multiple hybrid or EDL capacitors, e.g. arrays or modules (housings, cases, encapsulations¶ÿor mountings thereof H01G0011780000)
H01G0011120000;Stacked hybrid or EDL capacitors
H01G0011140000;Arrangements or processes for adjusting or protecting hybrid or EDL capacitors (emergency protective circuit arrangements specially adapted for capacitors, and effecting automatic switching in the event of an undesired change from normal working conditions H02H0007160000. emergency protective circuit arrangements for limiting excess current or voltages without disconnection H02H0009000000)
H01G0011160000;against electric overloads, e.g. including fuses
H01G0011180000;against thermal overloads, e.g. heating, cooling or ventilating
H01G0011200000;Reformation or processes for removal of impurities, e.g. scavenging
H01G0011220000;Electrodes
H01G0011240000;characterised by structural features of the materials making up or comprised in the electrodes, e.g. form,¶ÿsurface area or porosity. characterised by the structural features of powders or particles used therefor
H01G0011260000;characterised by their structure, e.g. multi-layered,¶ÿporosity or surface features
H01G0011280000;arranged or disposed on a current collector. Layers or phases between electrodes and current collectors, e.g. adhesives
H01G0011300000;characterised by their material
H01G0011320000;Carbon-based
H01G0011340000;characterised by carbonisation or activation of carbon
H01G0011360000;Nanostructures, e.g. nanofibres, nanotubes or fullerenes
H01G0011380000;Carbon pastes or blends. Binders or additives therein
H01G0011400000;Fibres
H01G0011420000;Powders or particles, e.g. composition thereof
H01G0011440000;Raw materials therefor, e.g. resins or coal
H01G0011460000;Metal oxides
H01G0011480000;Conductive polymers
H01G0011500000;specially adapted for lithium-ion capacitors, e.g. for lithium-doping or for intercalation
H01G0011520000;Separators
H01G0011540000;Electrolytes
H01G0011560000;Solid electrolytes, e.g. gels. Additives therein
H01G0011580000;Liquid electrolytes
H01G0011600000;characterised by the solvent
H01G0011620000;characterised by the solute, e.g. salts, anions or cations therein
H01G0011640000;characterised by additives
H01G0011660000;Current collectors
H01G0011680000;characterised by their material
H01G0011700000;characterised by their structure
H01G0011720000;specially adapted for integration in multiple or stacked hybrid or EDL capacitors
H01G0011740000;Terminals, e.g. extensions of current collectors
H01G0011760000;specially adapted for integration in multiple or stacked hybrid or EDL capacitors
H01G0011780000;Cases. Housings. Encapsulations. Mountings
H01G0011800000;Gaskets. Sealings
H01G0011820000;Fixing or assembling a capacitive element in a housing, e.g. mounting electrodes, current collectors or terminals in containers or encapsulations
H01G0011840000;Processes for the manufacture of hybrid or EDL capacitors, or components thereof
H01G0011860000;specially adapted for electrodes (carbonisation or activation of carbon for the manufacture of electrodes H01G0011340000)
H01G0013000000;Apparatus specially adapted for manufacturing capacitors. Processes specially adapted for manufacturing capacitors not provided for in groups . H01G0004000000-H01G0011000000
H01G0013020000;Machines for winding capacitors
H01G0013040000;Drying. Impregnating
H01G0013060000;with provision for removing metal surfaces
H01G0015000000;Structural combinations of capacitors or other devices covered by at least two different main groups of this subclass with each other (involving at least one hybrid or electric double-layer [EDL] capacitor as the main component H01G0011080000)
H01G0017000000;Structural combinations of capacitors or other devices covered by at least two different main groups of this subclass with other electric elements, not covered by this subclass, e.g. RC combinations
H01H;ELECTRIC SWITCHES. RELAYS. SELECTORS. EMERGENCY PROTECTIVE DEVICES (contact cables H01B0007100000. electrolytic self-interrupters H01G0009180000. emergency protective circuit arrangements H02H. switching by electronic means without contact-making H03K0017000000)
H01H0001000000;Electric switches
H01H0001000000;Contacts (liquid contacts H01H0029040000)
