G;SECTION G PHYSICS
G01D0013280000;with luminescent markings
G01D0015000000;Component parts of recorders for measuring arrangements not specially adapted for a specific variable
G01D0015020000;Styli or other recording elements acting to mechanically deform or perforate the recording surface (printing recording elements G01D0015200000)
G01D0015040000;acting to punch holes in the recording surface
G01D0015060000;Electric recording elements, e.g. electrolytic
G01D0015080000;for spark erosion
G01D0015100000;Heated recording elements acting on heat-sensitive layers
G01D0015120000;Magnetic recording elements
G01D0015140000;Optical recording elements. Recording elements using X- or nuclear radiation
G01D0015160000;Recording elements transferring recording material, e.g. ink, to the recording surface (printing recording elements G01D0015200000)
G01D0015180000;Nozzles emitting recording material
G01D0015200000;Recording elements for printing with ink or for printing by deformation or perforation of the recording surface, e.g. embossing
G01D0015220000;Chopper bars for bringing recording element into contact with recording surface
G01D0015240000;Drives for recording elements or surfaces, not covered by group . G01D0005000000
G01D0015260000;operating by clockwork
G01D0015280000;Holding means for recording surfaces. Guiding means for recording surfaces. Exchanging means for recording surfaces
G01D0015300000;for foldable strip charts
G01D0015320000;for circular charts
G01D0015340000;Recording surfaces
G01D0018000000;Testing or calibrating apparatus or arrangements provided for in groups . G01D0001000000-G01D0015000000
G01D0021000000;Measuring or testing not otherwise provided for
G01D0021020000;Measuring two or more variables by means not covered by a single other subclass
G01F;MEASURING VOLUME, VOLUME FLOW, MASS FLOW, OR LIQUID LEVEL. METERING BY VOLUME
G01F0001000000;Measuring volume flow
G01F0001000000;Measuring the volume flow or mass flow of fluid or fluent solid material wherein the fluid passes through the meter in a continuous flow (measuring a proportion of the volume flow G01F0005000000)
G01F0001050000;by using mechanical effects
G01F0001060000;using rotating vanes with tangential admission
G01F0001070000;with mechanical coupling to the indicating device
G01F0001075000;with magnetic or electromagnetic coupling to the indicating device
G01F0001080000;Adjusting, correcting, or compensating means therefor
G01F0001100000;using rotating vanes with axial admission
G01F0001110000;with mechanical coupling to the indicating device
G01F0001115000;with magnetic or electromagnetic coupling to the indicating device
G01F0001120000;Adjusting, correcting, or compensating means therefor
G01F0001200000;by detection of dynamic effects of the fluid flow
G01F0001220000;by variable-area meters
G01F0001240000;with magnetic or electric coupling to the indicating device
G01F0001260000;of the valve type
G01F0001280000;by drag-force, e.g. vane type or impact flowmeter
G01F0001300000;for fluent solid material
G01F0001320000;by swirl flowmeter, e.g. using Karman vortices
G01F0001340000;by measuring pressure or differential pressure
G01F0001360000;the pressure or differential pressure being created by the use of flow constriction
G01F0001370000;the pressure or differential pressure being measured by means of communicating tubes or reservoirs with movable fluid levels, e.g. by U-tubes
G01F0001380000;the pressure or differential pressure being measured by means of a movable element, e.g. diaphragm, piston, Bourdon tube or flexible capsule
G01F0001400000;Details of construction of the flow constriction devices
G01F0001420000;Orifices or nozzles
G01F0001440000;Venturi tubes
G01F0001460000;Pitot tubes
G01F0001480000;the pressure or differential pressure being created by a capillary element
G01F0001500000;Correcting or compensating means
G01F0001520000;by measuring the height of the fluid level due to the lifting power of the fluid flow
G01F0001540000;by means of chains, flexible bands, or wires introduced into, and moved by, the flow
G01F0001560000;by using electric or magnetic effects (G01F0001660000 takes precedence)..
G01F0001580000;by electromagnetic flowmeters
G01F0001600000;Circuits therefor
G01F0001640000;by measuring electrical currents passing through the fluid flow. by measuring electrical potential generated by the fluid flow, e.g. by electrochemical, contact, or friction effects (G01F0001580000 takes precedence)..
G01F0001660000;by measuring frequency, phase shift, or propagation time of electromagnetic or other waves, e.g. ultrasonic flowmeters
G01F0001680000;by using thermal effects
G01F0001684000;Structural arrangements. Mounting of elements, e.g. in relation to fluid flow
G01F0001688000;using a particular type of heating, cooling or sensing element
G01F0001690000;of resistive type
G01F0001692000;Thin-film arrangements
G01F0001696000;Circuits therefor, e.g. constant-current flow meters
G01F0001698000;Feedback or rebalancing circuits, e.g. self heated constant temperature flowmeters
G01F0001699000;by control of a separate heating or cooling element
G01F0001704000;using marked regions or existing inhomogeneities within the fluid stream, e.g. statistically occurring variations in a fluid parameter (G01F0001760000, G01F0025000000 take precedence)..
G01F0001708000;Measuring the time taken to traverse a fixed distance
G01F0001712000;using auto-correlation or cross-correlation detection means
G01F0001716000;using electron paramagnetic resonance (EPR) or nuclear magnetic resonance (NMR)
G01F0001720000;Devices for measuring pulsing fluid flows
G01F0001740000;Devices for measuring flow of a fluid or flow of a fluent solid material in suspension in another fluid
G01F0001760000;Devices for measuring mass flow of a fluid or a fluent solid material
G01F0001780000;Direct mass flowmeters
G01F0001800000;operating by measuring pressure, force, momentum, or frequency of a fluid flow to which a rotational movement has been imparted
G01F0001820000;using a driven wheel as impeller and one or more other wheels or moving elements which are angularly restrained by a resilient member, e.g. spring member, as the measuring device
G01F0001840000;Coriolis or gyroscopic mass flowmeters
G01F0001860000;Indirect mass flowmeters, e.g. measuring volume flow and density, temperature, or pressure
G01F0001880000;with differential-pressure measurement to determine the volume flow
G01F0001900000;with positive-displacement meter or turbine meter to determine the volume flow
G01F0003000000;Measuring the volume flow of fluids or fluent solid material wherein the fluid passes through the meter in successive and more or less isolated quantities, the meter being driven by the flow (measuring a proportion of the volume flow G01F0005000000)
G01F0003020000;with measuring chambers which expand or contract during measurement
G01F0003040000;having rigid movable walls
G01F0003060000;comprising members rotating in a fluid-tight or substantially fluid-tight manner in a housing
G01F0003080000;Rotary-piston or ring-piston meters
G01F0003100000;Geared or lobed impeller meters
G01F0003120000;Meters with nutating members, e.g. discs
G01F0003140000;comprising reciprocating pistons, e.g. reciprocating in a rotating body
G01F0003160000;in stationary cylinders
G01F0003180000;involving two or more cylinders
G01F0003200000;having flexible movable walls, e.g. diaphragms, bellows
G01F0003220000;for gases
G01F0003240000;with measuring chambers moved during operation (wet gas-meters G01F0003300000)
G01F0003260000;Tilting-trap meters
G01F0003280000;on carriers rotated by the weight of the liquid in the measuring chambers
G01F0003300000;Wet gas-meters
G01F0003320000;comprising partitioned drums rotating or nutating in a liquid
G01F0003340000;comprising bells reciprocating in a liquid
G01F0003360000;with stationary measuring chambers having constant volume during measurement (with measuring chambers which expand or contract during measurement G01F0003020000)
G01F0003380000;having only one measuring chamber
G01F0005000000;Measuring a proportion of the volume flow
G01F0007000000;Volume-flow measuring devices with two or more measuring ranges. Compound meters
G01F0009000000;Measuring volume flow relative to another variable, e.g. of liquid fuel for an engine
G01F0009020000;wherein the other variable is the speed of a vehicle
G01F0011000000;Metering by volume
G01F0011000000;Apparatus requiring external operation adapted at each repeated and identical operation to measure and separate a predetermined volume of fluid or fluent solid material from a supply or container, without regard to weight, and to deliver it
